sales_key,invoice_no,customer_key,product_key,geography_key,date_key,invoice_timestamp,quantity,unit_price,total_amount,is_cancelled,batch_id
22,536368,542,1823,36,20101201,2010-12-01 08:34:00,6,4.25,25.5,False,full_historical_baseline
23,536368,542,1777,36,20101201,2010-12-01 08:34:00,3,4.95,14.85,False,full_historical_baseline
24,536368,542,1776,36,20101201,2010-12-01 08:34:00,3,4.95,14.85,False,full_historical_baseline
25,536368,542,1778,36,20101201,2010-12-01 08:34:00,3,4.95,14.85,False,full_historical_baseline
26,536369,542,788,36,20101201,2010-12-01 08:35:00,3,5.95,17.85,False,full_historical_baseline
27,536370,193,1599,14,20101201,2010-12-01 08:45:00,24,3.75,90.0,False,full_historical_baseline
28,536370,193,1598,14,20101201,2010-12-01 08:45:00,24,3.75,90.0,False,full_historical_baseline
29,536370,193,1597,14,20101201,2010-12-01 08:45:00,12,3.75,45.0,False,full_historical_baseline
30,536370,193,767,14,20101201,2010-12-01 08:45:00,12,0.85,10.2,False,full_historical_baseline
31,536370,193,869,14,20101201,2010-12-01 08:45:00,24,0.65,15.6,False,full_historical_baseline
32,536370,193,1,14,20101201,2010-12-01 08:45:00,48,0.85,40.8,False,full_historical_baseline
33,536370,193,807,14,20101201,2010-12-01 08:45:00,24,1.25,30.0,False,full_historical_baseline
34,536370,193,323,14,20101201,2010-12-01 08:45:00,18,2.95,53.1,False,full_historical_baseline
35,536370,193,1224,14,20101201,2010-12-01 08:45:00,24,2.95,70.8,False,full_historical_baseline
36,536370,193,1504,14,20101201,2010-12-01 08:45:00,24,1.95,46.8,False,full_historical_baseline
37,536370,193,1531,14,20101201,2010-12-01 08:45:00,24,1.95,46.8,False,full_historical_baseline
38,536370,193,1506,14,20101201,2010-12-01 08:45:00,24,1.95,46.8,False,full_historical_baseline
39,536370,193,1533,14,20101201,2010-12-01 08:45:00,20,0.85,17.0,False,full_historical_baseline
40,536370,193,771,14,20101201,2010-12-01 08:45:00,24,1.65,39.6,False,full_historical_baseline
41,536370,193,1765,14,20101201,2010-12-01 08:45:00,24,2.95,70.8,False,full_historical_baseline
42,536370,193,894,14,20101201,2010-12-01 08:45:00,12,3.75,45.0,False,full_historical_baseline
43,536370,193,1419,14,20101201,2010-12-01 08:45:00,24,0.42,10.08,False,full_historical_baseline
44,536370,193,1422,14,20101201,2010-12-01 08:45:00,24,0.42,10.08,False,full_historical_baseline
45,536370,193,1373,14,20101201,2010-12-01 08:45:00,36,0.65,23.4,False,full_historical_baseline
46,536370,193,3826,14,20101201,2010-12-01 08:45:00,3,18.0,54.0,False,full_historical_baseline
47,536371,1049,1005,36,20101201,2010-12-01 09:00:00,80,2.55,204.0,False,full_historical_baseline
48,536372,4050,1507,36,20101201,2010-12-01 09:01:00,6,1.85,11.1,False,full_historical_baseline
49,536372,4050,1508,36,20101201,2010-12-01 09:01:00,6,1.85,11.1,False,full_historical_baseline
50,536373,4050,3323,36,20101201,2010-12-01 09:02:00,6,2.55,15.3,False,full_historical_baseline
51,536373,4050,2714,36,20101201,2010-12-01 09:02:00,6,3.39,20.34,False,full_historical_baseline
52,536373,4050,2922,36,20101201,2010-12-01 09:02:00,8,2.75,22.0,False,full_historical_baseline
53,536373,4050,143,36,20101201,2010-12-01 09:02:00,6,4.95,29.7,False,full_historical_baseline
54,536373,4050,2560,36,20101201,2010-12-01 09:02:00,6,1.06,6.36,False,full_historical_baseline
55,536373,4050,857,36,20101201,2010-12-01 09:02:00,6,1.06,6.36,False,full_historical_baseline
56,536373,4050,347,36,20101201,2010-12-01 09:02:00,6,1.06,6.36,False,full_historical_baseline
57,536373,4050,344,36,20101201,2010-12-01 09:02:00,6,1.06,6.36,False,full_historical_baseline
58,536373,4050,2843,36,20101201,2010-12-01 09:02:00,2,4.95,9.9,False,full_historical_baseline
59,536373,4050,2845,36,20101201,2010-12-01 09:02:00,4,6.95,27.8,False,full_historical_baseline
60,536373,4050,2842,36,20101201,2010-12-01 09:02:00,6,2.1,12.6,False,full_historical_baseline
61,536373,4050,2846,36,20101201,2010-12-01 09:02:00,6,2.55,15.3,False,full_historical_baseline
62,536373,4050,2869,36,20101201,2010-12-01 09:02:00,6,3.39,20.34,False,full_historical_baseline
63,536373,4050,2868,36,20101201,2010-12-01 09:02:00,6,3.39,20.34,False,full_historical_baseline
64,536373,4050,1623,36,20101201,2010-12-01 09:02:00,2,7.65,15.3,False,full_historical_baseline
65,536373,4050,770,36,20101201,2010-12-01 09:02:00,6,4.25,25.5,False,full_historical_baseline
66,536374,2031,465,36,20101201,2010-12-01 09:09:00,32,10.95,350.4,False,full_historical_baseline
67,536375,4050,3323,36,20101201,2010-12-01 09:32:00,6,2.55,15.3,False,full_historical_baseline
68,536375,4050,2714,36,20101201,2010-12-01 09:32:00,6,3.39,20.34,False,full_historical_baseline
69,536375,4050,2922,36,20101201,2010-12-01 09:32:00,8,2.75,22.0,False,full_historical_baseline
70,536375,4050,143,36,20101201,2010-12-01 09:32:00,6,4.95,29.7,False,full_historical_baseline
71,536375,4050,2560,36,20101201,2010-12-01 09:32:00,6,1.06,6.36,False,full_historical_baseline
72,536375,4050,857,36,20101201,2010-12-01 09:32:00,6,1.06,6.36,False,full_historical_baseline
73,536375,4050,347,36,20101201,2010-12-01 09:32:00,6,1.06,6.36,False,full_historical_baseline
74,536375,4050,344,36,20101201,2010-12-01 09:32:00,6,1.06,6.36,False,full_historical_baseline
75,536375,4050,2843,36,20101201,2010-12-01 09:32:00,2,4.95,9.9,False,full_historical_baseline
76,536375,4050,2845,36,20101201,2010-12-01 09:32:00,4,6.95,27.8,False,full_historical_baseline
77,536375,4050,2842,36,20101201,2010-12-01 09:32:00,6,2.1,12.6,False,full_historical_baseline
78,536375,4050,2846,36,20101201,2010-12-01 09:32:00,6,2.55,15.3,False,full_historical_baseline
79,536375,4050,2869,36,20101201,2010-12-01 09:32:00,6,3.39,20.34,False,full_historical_baseline
80,536375,4050,2868,36,20101201,2010-12-01 09:32:00,6,3.39,20.34,False,full_historical_baseline
81,536375,4050,1623,36,20101201,2010-12-01 09:32:00,2,7.65,15.3,False,full_historical_baseline
82,536375,4050,770,36,20101201,2010-12-01 09:32:00,6,4.25,25.5,False,full_historical_baseline
83,536376,2181,1033,36,20101201,2010-12-01 09:32:00,48,3.45,165.6,False,full_historical_baseline
84,536376,2181,772,36,20101201,2010-12-01 09:32:00,64,2.55,163.2,False,full_historical_baseline
85,536377,4050,1507,36,20101201,2010-12-01 09:34:00,6,1.85,11.1,False,full_historical_baseline
86,536377,4050,1508,36,20101201,2010-12-01 09:34:00,6,1.85,11.1,False,full_historical_baseline
87,536378,1735,1278,36,20101201,2010-12-01 09:37:00,10,1.95,19.5,False,full_historical_baseline
88,536378,1735,3308,36,20101201,2010-12-01 09:37:00,10,1.95,19.5,False,full_historical_baseline
89,536378,1735,321,36,20101201,2010-12-01 09:37:00,10,2.95,29.5,False,full_historical_baseline
90,536378,1735,169,36,20101201,2010-12-01 09:37:00,10,0.85,8.5,False,full_historical_baseline
91,536378,1735,3217,36,20101201,2010-12-01 09:37:00,12,3.75,45.0,False,full_historical_baseline
92,536378,1735,3218,36,20101201,2010-12-01 09:37:00,6,3.75,22.5,False,full_historical_baseline
93,536378,1735,357,36,20101201,2010-12-01 09:37:00,12,0.85,10.2,False,full_historical_baseline
94,536378,1735,171,36,20101201,2010-12-01 09:37:00,10,1.65,16.5,False,full_historical_baseline
95,536378,1735,654,36,20101201,2010-12-01 09:37:00,6,2.55,15.3,False,full_historical_baseline
96,536378,1735,1248,36,20101201,2010-12-01 09:37:00,6,2.55,15.3,False,full_historical_baseline
97,536378,1735,436,36,20101201,2010-12-01 09:37:00,120,0.42,50.4,False,full_historical_baseline
98,536378,1735,927,36,20101201,2010-12-01 09:37:00,24,0.55,13.2,False,full_historical_baseline
99,536378,1735,929,36,20101201,2010-12-01 09:37:00,24,0.55,13.2,False,full_historical_baseline
100,536378,1735,3212,36,20101201,2010-12-01 09:37:00,24,0.55,13.2,False,full_historical_baseline
