mart_id,date_key,year_month,country_name,total_revenue,total_orders,total_units_sold,average_order_value,unique_customers,cancelled_orders_count
32,20101207,2010-12,Germany,596.8,1,155,596.8,1,0
33,20101207,2010-12,Iceland,711.79,1,319,711.79,1,0
34,20101207,2010-12,United Kingdom,42237.13,98,23850,430.99,67,34
35,20101208,2010-12,Australia,258.9,1,214,258.9,1,0
36,20101208,2010-12,France,173.55,1,121,173.55,1,0
37,20101208,2010-12,Germany,509.95,2,136,254.98,2,1
38,20101208,2010-12,Lithuania,63.0,1,30,63.0,1,0
39,20101208,2010-12,Norway,1867.98,1,1730,1867.98,1,0
40,20101208,2010-12,Portugal,1149.29,1,424,1149.29,1,0
41,20101208,2010-12,United Kingdom,40012.55,132,20088,303.13,106,72
42,20101209,2010-12,Channel Islands,363.53,1,80,363.53,1,0
43,20101209,2010-12,Denmark,1281.5,1,454,1281.5,1,0
44,20101209,2010-12,Eire,945.55,1,287,945.55,1,0
45,20101209,2010-12,France,1832.58,5,1012,366.52,4,3
46,20101209,2010-12,Germany,891.79,5,380,178.36,5,5
47,20101209,2010-12,Japan,3794.4,1,1488,3794.4,1,0
48,20101209,2010-12,Portugal,254.03,1,118,254.03,1,0
49,20101209,2010-12,Spain,174.72,1,67,174.72,1,0
50,20101209,2010-12,United Kingdom,42956.04,125,15501,343.65,108,65
51,20101210,2010-12,Eire,1156.05,1,379,1156.05,1,0
52,20101210,2010-12,France,1071.9,1,418,1071.9,1,0
53,20101210,2010-12,Germany,2325.01,2,1084,1162.5,1,0
54,20101210,2010-12,Portugal,311.95,1,131,311.95,1,0
55,20101210,2010-12,United Kingdom,52438.1,79,18329,663.77,51,61
56,20101212,2010-12,Japan,3590.59,1,2409,3590.59,1,0
57,20101212,2010-12,United Kingdom,13446.91,50,8090,268.94,42,12
58,20101213,2010-12,Germany,-12.45,3,-2,-4.15,1,4
59,20101213,2010-12,Spain,881.01,1,300,881.01,1,0
60,20101213,2010-12,United Kingdom,34446.44,80,17299,430.58,60,16
61,20101214,2010-12,Australia,-27.75,1,-13,-27.75,1,3
62,20101214,2010-12,Cyprus,1587.07,1,916,1587.07,1,0
63,20101214,2010-12,Portugal,-59.85,2,-39,-29.92,1,4
64,20101214,2010-12,Sweden,0.0,2,0,0.0,1,1
65,20101214,2010-12,United Kingdom,41256.65,135,18762,305.6,101,68
66,20101215,2010-12,Austria,-20.16,1,-48,-20.16,1,1
67,20101215,2010-12,France,195.89,1,134,195.89,1,0
68,20101215,2010-12,Germany,-52.9,1,-12,-52.9,1,6
69,20101215,2010-12,Israel,-227.44,1,-56,-227.44,1,2
70,20101215,2010-12,United Kingdom,29488.05,93,18176,317.08,83,32
71,20101216,2010-12,Eire,486.56,2,328,243.28,1,5
72,20101216,2010-12,Finland,892.8,1,1254,892.8,1,0
73,20101216,2010-12,France,-8.85,3,-3,-2.95,1,2
74,20101216,2010-12,Germany,-11.55,1,-7,-11.55,1,1
75,20101216,2010-12,United Kingdom,46736.63,143,27973,326.83,114,31
76,20101217,2010-12,Australia,348.2,1,136,348.2,1,0
77,20101217,2010-12,Austria,277.2,1,51,277.2,1,0
78,20101217,2010-12,Belgium,625.16,2,285,312.58,2,0
79,20101217,2010-12,Eire,1424.12,2,701,712.06,2,0
80,20101217,2010-12,France,350.28,2,398,175.14,2,0
81,20101217,2010-12,Germany,4672.82,9,1657,519.2,7,1
82,20101217,2010-12,Portugal,463.5,1,193,463.5,1,0
83,20101217,2010-12,Spain,168.0,1,100,168.0,1,0
84,20101217,2010-12,Sweden,2646.3,1,3714,2646.3,1,0
85,20101217,2010-12,United Kingdom,32478.41,51,8810,636.83,36,8
86,20101219,2010-12,Eire,411.1,1,155,411.1,1,0
87,20101219,2010-12,Germany,469.87,1,337,469.87,1,0
88,20101219,2010-12,United Kingdom,6511.9,23,3238,283.13,16,4
89,20101220,2010-12,Bahrain,205.74,1,54,205.74,1,0
90,20101220,2010-12,Eire,-760.31,2,-363,-380.16,1,21
91,20101220,2010-12,France,1371.19,2,733,685.6,2,0
92,20101220,2010-12,Germany,331.31,2,177,165.66,2,15
93,20101220,2010-12,Netherlands,70.96,1,46,70.96,1,0
94,20101220,2010-12,Switzerland,1001.52,1,604,1001.52,1,0
95,20101220,2010-12,United Kingdom,22498.44,79,12835,284.79,53,48
96,20101221,2010-12,Belgium,237.93,1,188,237.93,1,0
97,20101221,2010-12,Eire,762.3,1,344,762.3,1,0
98,20101221,2010-12,France,221.28,2,26,110.64,1,0
99,20101221,2010-12,Italy,383.7,1,131,383.7,1,0
100,20101221,2010-12,Netherlands,8520.92,1,6668,8520.92,1,0
