customer_key,customer_id,customer_code,gender,age_group,loyalty_tier,signup_date,preferred_device,country
34,12384,CUST_12384,Male,51-65,Bronze,2009-02-04,Mobile App,Switzerland
35,12386,CUST_12386,Male,18-25,Bronze,2011-10-21,Mobile App,Australia
36,12388,CUST_12388,Male,26-35,Gold,2009-07-10,Mobile App,Australia
37,12390,CUST_12390,Female,36-50,Bronze,2010-05-05,Mobile App,Belgium
38,12391,CUST_12391,Female,18-25,Silver,2010-11-14,Mobile App,Cyprus
39,12393,CUST_12393,Male,18-25,Silver,2010-04-27,Mobile App,Australia
40,12394,CUST_12394,Female,36-50,Silver,2011-07-02,Mobile Web,Belgium
41,12395,CUST_12395,Female,36-50,Silver,2010-08-29,Mobile App,Belgium
42,12397,CUST_12397,Female,26-35,Silver,2009-04-27,Desktop Web,Belgium
43,12398,CUST_12398,Female,26-35,Bronze,2011-04-14,Desktop Web,Switzerland
44,12399,CUST_12399,Male,26-35,Silver,2009-07-05,Desktop Web,Belgium
45,12401,CUST_12401,Female,18-25,Gold,2010-01-12,Mobile App,Belgium
46,12402,CUST_12402,Male,26-35,Bronze,2010-06-21,Mobile App,Belgium
47,12403,CUST_12403,Female,26-35,Bronze,2009-05-16,Mobile App,Denmark
48,12405,CUST_12405,Male,18-25,Silver,2009-06-23,Mobile App,Finland
49,12406,CUST_12406,Male,65+,Bronze,2010-09-26,Mobile App,Denmark
50,12407,CUST_12407,Female,36-50,Bronze,2011-06-10,Desktop Web,Belgium
51,12408,CUST_12408,Male,36-50,Bronze,2010-03-20,Desktop Web,Belgium
52,12409,CUST_12409,Male,26-35,Silver,2009-01-28,Desktop Web,Switzerland
53,12410,CUST_12410,Male,26-35,Bronze,2010-03-11,Mobile App,Switzerland
54,12412,CUST_12412,Male,26-35,Silver,2010-02-08,Mobile App,Denmark
55,12413,CUST_12413,Male,18-25,Gold,2011-06-22,Mobile Web,France
56,12414,CUST_12414,Male,26-35,Bronze,2011-08-15,Mobile App,Austria
57,12415,CUST_12415,Female,36-50,Silver,2011-03-26,Desktop Web,Australia
58,12417,CUST_12417,Female,36-50,Platinum,2010-03-19,Desktop Web,Belgium
59,12418,CUST_12418,Female,36-50,Silver,2009-01-01,Mobile App,Switzerland
60,12420,CUST_12420,Female,26-35,Gold,2011-06-28,Mobile App,Cyprus
61,12421,CUST_12421,Female,51-65,Bronze,2009-01-29,Desktop Web,Spain
62,12422,CUST_12422,Female,18-25,Gold,2011-10-12,Mobile App,Australia
63,12423,CUST_12423,Male,26-35,Bronze,2010-10-27,Mobile App,Belgium
64,12424,CUST_12424,Female,26-35,Bronze,2009-11-21,Mobile App,Australia
65,12425,CUST_12425,Female,36-50,Bronze,2009-11-11,Mobile App,Portugal
66,12426,CUST_12426,Male,65+,Bronze,2010-12-27,Desktop Web,Germany
67,12427,CUST_12427,Female,26-35,Gold,2010-06-25,Mobile Web,Germany
68,12428,CUST_12428,Male,51-65,Bronze,2010-11-30,Mobile App,Finland
69,12429,CUST_12429,Female,51-65,Silver,2011-05-20,Mobile Web,Denmark
70,12430,CUST_12430,Non-Binary,26-35,Silver,2011-07-16,Tablet,Norway
71,12431,CUST_12431,Male,26-35,Silver,2010-02-05,Tablet,Australia
72,12432,CUST_12432,Female,26-35,Bronze,2009-10-16,Mobile Web,Norway
73,12433,CUST_12433,Female,65+,Silver,2011-09-23,Mobile App,Norway
74,12434,CUST_12434,Male,26-35,Bronze,2011-06-25,Mobile App,Australia
75,12435,CUST_12435,Male,36-50,Bronze,2010-07-18,Desktop Web,Denmark
76,12436,CUST_12436,Male,26-35,Platinum,2010-01-14,Desktop Web,Norway
77,12437,CUST_12437,Male,36-50,Bronze,2011-08-26,Mobile Web,France
78,12438,CUST_12438,Female,26-35,Bronze,2010-10-20,Tablet,Norway
79,12441,CUST_12441,Female,36-50,Gold,2011-01-11,Desktop Web,France
80,12442,CUST_12442,Female,51-65,Bronze,2009-09-26,Mobile App,Spain
81,12444,CUST_12444,Male,51-65,Silver,2011-09-14,Mobile App,Norway
82,12445,CUST_12445,Male,51-65,Bronze,2010-12-01,Mobile App,Spain
83,12446,CUST_12446,Female,18-25,Bronze,2011-07-05,Desktop Web,RSA
84,12447,CUST_12447,Female,36-50,Bronze,2009-12-20,Desktop Web,Belgium
85,12448,CUST_12448,Female,18-25,Bronze,2011-01-25,Mobile Web,Spain
86,12449,CUST_12449,Female,26-35,Bronze,2010-10-17,Desktop Web,Belgium
87,12450,CUST_12450,Male,36-50,Silver,2011-01-18,Mobile Web,Spain
88,12451,CUST_12451,Male,26-35,Silver,2010-10-08,Desktop Web,Switzerland
89,12452,CUST_12452,Male,36-50,Platinum,2009-03-25,Mobile Web,Switzerland
90,12453,CUST_12453,Female,65+,Bronze,2011-10-18,Mobile App,Austria
91,12454,CUST_12454,Female,18-25,Silver,2010-07-25,Mobile Web,Spain
92,12455,CUST_12455,Male,36-50,Silver,2010-04-30,Desktop Web,Spain
93,12456,CUST_12456,Male,26-35,Gold,2011-04-17,Mobile App,Switzerland
94,12457,CUST_12457,Male,18-25,Bronze,2009-06-10,Mobile App,Switzerland
95,12458,CUST_12458,Male,26-35,Silver,2010-04-30,Mobile Web,Switzerland
96,12461,CUST_12461,Female,51-65,Gold,2011-03-04,Mobile App,Switzerland
97,12462,CUST_12462,Male,51-65,Bronze,2011-04-29,Desktop Web,Spain
98,12463,CUST_12463,Female,51-65,Gold,2011-02-25,Mobile App,Belgium
99,12464,CUST_12464,Female,65+,Bronze,2009-09-13,Desktop Web,Belgium
100,12465,CUST_12465,Female,26-35,Silver,2010-08-26,Mobile Web,Belgium
