product_key,stock_code,description,category,unit_price_nominal
57,16202A,PASTEL PINK PHOTO ALBUM,Gifts & Accessories,0.5
58,16202B,PASTEL BLUE PHOTO ALBUM,Gifts & Accessories,0.5
59,16202E,BLACK PHOTO ALBUM,Gifts & Accessories,0.5
60,16206B,RED PURSE WITH PINK HEART,Seasonal & Festive,1.25
61,16207A,PINK STRAWBERRY HANDBAG,Bags & Travel,2.46
62,16207B,PINK HEART RED HANDBAG,Seasonal & Festive,2.46
63,16216,LETTER SHAPE PENCIL SHARPENER,Stationery & Office,0.06
64,16218,CARTOON  PENCIL SHARPENERS,Stationery & Office,0.06
65,16219,HOUSE SHAPE PENCIL SHARPENER,Stationery & Office,0.83
66,16225,RATTLE SNAKE EGGS,Gifts & Accessories,1.25
67,16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery & Office,0.42
68,16236,KITTY PENCIL ERASERS,Stationery & Office,0.21
69,16237,SLEEPING CAT ERASERS,Gifts & Accessories,0.21
70,16238,PARTY TIME PENCIL ERASERS,Stationery & Office,0.21
71,16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Gifts & Accessories,1.23
72,16248B,BLUE HOLE PUNCH,Gifts & Accessories,1.25
73,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Stationery & Office,1.63
74,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Bags & Travel,0.42
75,16259,PIECE OF CAMO STATIONERY SET,Stationery & Office,0.08
76,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Gifts & Accessories,0.29
77,17003,BROCADE RING PURSE,Bags & Travel,0.3
78,17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Home Decor & Furnishing,2.1
79,17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Gifts & Accessories,0.65
80,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Seasonal & Festive,2.46
81,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Seasonal & Festive,2.46
82,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,Gifts & Accessories,2.46
83,17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Seasonal & Festive,2.46
84,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Seasonal & Festive,2.51
85,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Gifts & Accessories,2.46
86,17013D,ORIGAMI ROSE INCENSE IN TUBE,Gifts & Accessories,0.42
87,17014A,ORIGAMI VANILLA INCENSE CONES,Gifts & Accessories,0.42
88,17021,NAMASTE SWAGAT INCENSE,Gifts & Accessories,0.3
89,17028J,INCENSE BAZAAR PEACH,Gifts & Accessories,0.42
90,17038,PORCELAIN BUDAH INCENSE HOLDER,Gifts & Accessories,0.1
91,17084A,TRANQUILITY MASALA INCENSE,Gifts & Accessories,0.21
92,17084J,LOVE POTION MASALA INCENSE,Gifts & Accessories,0.21
93,17084N,FAIRY DREAMS INCENSE,Gifts & Accessories,0.42
94,17084P,DRAGONS BLOOD INCENSE,Gifts & Accessories,0.42
95,17084R,ASSORTED INCENSE PACK,Gifts & Accessories,0.21
96,17090A,LAVENDER INCENSE 40 CONES IN TIN,Gifts & Accessories,1.25
97,17090D,VANILLA INCENSE 40 CONES IN TIN,Gifts & Accessories,1.25
98,17091A,LAVENDER INCENSE IN TIN,Gifts & Accessories,0.38
99,17091J,VANILLA INCENSE IN TIN,Gifts & Accessories,0.38
100,17096,ASSORTED LAQUERED INCENSE HOLDERS,Gifts & Accessories,0.21
